id,crmid,propensity_account_upgrade,propensity_premium
7d4002fe-7a33-11ea-a3a8-b88a60e194fb,crmid:9741622,5,3
7d407794-7a33-11ea-b584-b88a60e194fb,crmid:4524460,1,1
7d40c6d2-7a33-11ea-8c76-b88a60e194fb,crmid:4923478,2,9
7d413c06-7a33-11ea-8b63-b88a60e194fb,crmid:4501702,4,5
7d418a42-7a33-11ea-a06e-b88a60e194fb,crmid:4186032,9,3
7d41ff40-7a33-11ea-82f9-b88a60e194fb,crmid:7693779,4,7
7d427406-7a33-11ea-9c62-b88a60e194fb,crmid:3721688,2,3
7d42e950-7a33-11ea-8da8-b88a60e194fb,crmid:4875692,3,8
7d4337ca-7a33-11ea-b23b-b88a60e194fb,crmid:8355931,3,8
7d4385e6-7a33-11ea-b2cf-b88a60e194fb,crmid:7742977,6,2
7d43fb18-7a33-11ea-990a-b88a60e194fb,crmid:2097668,3,9
7d447122-7a33-11ea-8ffc-b88a60e194fb,crmid:5914596,2,7
7d44e57a-7a33-11ea-b849-b88a60e194fb,crmid:6842366,6,8
7d455a9e-7a33-11ea-a35f-b88a60e194fb,crmid:6235320,9,2
7d45ce6e-7a33-11ea-b2ff-b88a60e194fb,crmid:5376781,3,6
7d461e34-7a33-11ea-8c34-b88a60e194fb,crmid:6026076,4,1
7d4692f6-7a33-11ea-9b73-b88a60e194fb,crmid:2518271,5,6
7d47085a-7a33-11ea-99dd-b88a60e194fb,crmid:2465600,2,5
7d477d48-7a33-11ea-bd18-b88a60e194fb,crmid:3499129,4,7
7d47f2c6-7a33-11ea-8526-b88a60e194fb,crmid:4649891,7,3
7d4840f6-7a33-11ea-8717-b88a60e194fb,crmid:5146450,1,7
7d48b606-7a33-11ea-97cd-b88a60e194fb,crmid:1014385,6,3
7d49044c-7a33-11ea-9932-b88a60e194fb,crmid:3740284,9,8
7d49794a-7a33-11ea-bc38-b88a60e194fb,crmid:3266028,6,5
7d49c778-7a33-11ea-a267-b88a60e194fb,crmid:1911213,2,5
7d4a3ca6-7a33-11ea-b893-b88a60e194fb,crmid:7894987,3,3
7d4a8ac0-7a33-11ea-b952-b88a60e194fb,crmid:1716427,7,4
7d4affec-7a33-11ea-b3c7-b88a60e194fb,crmid:2925558,1,5
7d4b7546-7a33-11ea-aae0-b88a60e194fb,crmid:9039433,5,7
7d4bea4c-7a33-11ea-8120-b88a60e194fb,crmid:9351396,3,4
7d4c389e-7a33-11ea-bac4-b88a60e194fb,crmid:5404626,1,9
7d4cae88-7a33-11ea-bec7-b88a60e194fb,crmid:2659619,5,3
7d4d2188-7a33-11ea-bacb-b88a60e194fb,crmid:7362467,5,2
7d4d70ee-7a33-11ea-8068-b88a60e194fb,crmid:5418710,9,8
7d4de63e-7a33-11ea-a18c-b88a60e194fb,crmid:1814162,2,6
7d4e33b6-7a33-11ea-b793-b88a60e194fb,crmid:2445251,1,2
7d4ea8ee-7a33-11ea-bc47-b88a60e194fb,crmid:1969094,1,2
7d4ef6b4-7a33-11ea-9a95-b88a60e194fb,crmid:8833236,4,8
7d4f925c-7a33-11ea-8dd2-b88a60e194fb,crmid:6168555,1,3
7d4fe19c-7a33-11ea-8a0a-b88a60e194fb,crmid:9181435,1,4
7d5055ae-7a33-11ea-aae4-b88a60e194fb,crmid:5552038,8,9
7d50a4ac-7a33-11ea-b391-b88a60e194fb,crmid:2086341,8,7
7d50f374-7a33-11ea-96e6-b88a60e194fb,crmid:8927503,5,7
7d51688c-7a33-11ea-99d4-b88a60e194fb,crmid:5825080,6,7
7d51de26-7a33-11ea-9ae9-b88a60e194fb,crmid:1479819,4,3
7d522bd8-7a33-11ea-9561-b88a60e194fb,crmid:8999084,7,8
7d52a208-7a33-11ea-a1ce-b88a60e194fb,crmid:5618845,3,3
7d531624-7a33-11ea-bcd8-b88a60e194fb,crmid:2420010,2,7
7d53646e-7a33-11ea-921e-b88a60e194fb,crmid:6382560,6,4
7d5428e8-7a33-11ea-a220-b88a60e194fb,crmid:7675500,1,6
7d549d10-7a33-11ea-9f7d-b88a60e194fb,crmid:5799862,7,7
7d551340-7a33-11ea-ba8d-b88a60e194fb,crmid:6804362,2,6
7d55601e-7a33-11ea-b89c-b88a60e194fb,crmid:5210922,4,7
7d55d65e-7a33-11ea-9e9c-b88a60e194fb,crmid:2355058,6,7
7d564a88-7a33-11ea-960b-b88a60e194fb,crmid:9375981,3,6
7d56e576-7a33-11ea-b41d-b88a60e194fb,crmid:9920157,4,8
7d5734da-7a33-11ea-af27-b88a60e194fb,crmid:2009497,4,2
7d57a9e8-7a33-11ea-9709-b88a60e194fb,crmid:9777525,7,7
7d57f81c-7a33-11ea-801d-b88a60e194fb,crmid:1884498,9,7
7d586d5c-7a33-11ea-8b25-b88a60e194fb,crmid:5621576,3,2
7d592f4a-7a33-11ea-ad33-b88a60e194fb,crmid:9424344,2,4
7d597ea6-7a33-11ea-9796-b88a60e194fb,crmid:2145613,8,1
7d5a19a6-7a33-11ea-aa18-b88a60e194fb,crmid:8706084,2,2
7d5a67b4-7a33-11ea-90ef-b88a60e194fb,crmid:2630397,2,7
7d5ade34-7a33-11ea-b4ee-b88a60e194fb,crmid:6227515,9,2
7d5b2c4c-7a33-11ea-af6d-b88a60e194fb,crmid:1034314,1,7
7d5ba03a-7a33-11ea-86af-b88a60e194fb,crmid:2506850,9,8
7d5c168a-7a33-11ea-85e0-b88a60e194fb,crmid:3058585,9,8
7d5c64ae-7a33-11ea-8891-b88a60e194fb,crmid:3324843,9,2
7d5cfffa-7a33-11ea-bce6-b88a60e194fb,crmid:7357689,8,4
7d5d7538-7a33-11ea-afa6-b88a60e194fb,crmid:2066492,2,7
7d5dea68-7a33-11ea-a5f6-b88a60e194fb,crmid:3947859,9,2
7d5e5fcc-7a33-11ea-80a5-b88a60e194fb,crmid:2385828,3,7
7d5eadb6-7a33-11ea-bef9-b88a60e194fb,crmid:7294196,5,3
7d5f22e4-7a33-11ea-bc82-b88a60e194fb,crmid:5382700,1,5
7d5f7102-7a33-11ea-b0f9-b88a60e194fb,crmid:8118895,2,9
7d5fe766-7a33-11ea-a558-b88a60e194fb,crmid:4042042,2,4
7d605ca4-7a33-11ea-8b46-b88a60e194fb,crmid:5694714,8,2
7d60aada-7a33-11ea-a9e1-b88a60e194fb,crmid:5773160,1,5
7d611fee-7a33-11ea-b51a-b88a60e194fb,crmid:4747941,5,7
7d616e1e-7a33-11ea-930f-b88a60e194fb,crmid:8518335,3,4
7d63decc-7a33-11ea-a133-b88a60e194fb,crmid:2308234,1,6
7d642ce2-7a33-11ea-83b1-b88a60e194fb,crmid:8927490,4,5
7d64a252-7a33-11ea-b358-b88a60e194fb,crmid:4402480,5,8
7d64f0a4-7a33-11ea-90ed-b88a60e194fb,crmid:2922021,3,1
7d656588-7a33-11ea-8e96-b88a60e194fb,crmid:7777954,4,8
7d65da7a-7a33-11ea-b94f-b88a60e194fb,crmid:8027169,2,3
7d6628e6-7a33-11ea-a775-b88a60e194fb,crmid:8956751,1,1
7d669dee-7a33-11ea-a765-b88a60e194fb,crmid:3531469,7,8
7d66ec00-7a33-11ea-9682-b88a60e194fb,crmid:7030654,1,3
7d6760fe-7a33-11ea-8622-b88a60e194fb,crmid:7326566,2,8
7d67ae40-7a33-11ea-af52-b88a60e194fb,crmid:8816586,3,8
7d684b2e-7a33-11ea-9222-b88a60e194fb,crmid:1948526,4,3
7d68c0c6-7a33-11ea-936b-b88a60e194fb,crmid:3767899,4,7
7d690ee2-7a33-11ea-97b6-b88a60e194fb,crmid:5586164,4,7
7d6983f4-7a33-11ea-998a-b88a60e194fb,crmid:8281546,9,8
7d69d21e-7a33-11ea-adcd-b88a60e194fb,crmid:1588323,5,5
7d6a4780-7a33-11ea-9f8f-b88a60e194fb,crmid:8309335,9,2
7d6a956e-7a33-11ea-9367-b88a60e194fb,crmid:4986848,8,8
7d6ae38a-7a33-11ea-9f5a-b88a60e194fb,crmid:2459583,1,7
7d6b59b6-7a33-11ea-875c-b88a60e194fb,crmid:7192109,2,8
7d6bcd76-7a33-11ea-9538-b88a60e194fb,crmid:2846419,7,9
7d6c1c46-7a33-11ea-9137-b88a60e194fb,crmid:9086233,8,7
7d6cb802-7a33-11ea-9ec0-b88a60e194fb,crmid:5413718,8,3
7d6d2d78-7a33-11ea-9d7b-b88a60e194fb,crmid:1937888,6,7
7d6d7a92-7a33-11ea-9632-b88a60e194fb,crmid:8301970,9,3
7d6df0dc-7a33-11ea-bbe4-b88a60e194fb,crmid:9420368,3,8
7d6e3efa-7a33-11ea-8cdc-b88a60e194fb,crmid:4152082,6,1
7d6e8d06-7a33-11ea-bbb3-b88a60e194fb,crmid:2339359,4,1
7d6f287a-7a33-11ea-925c-b88a60e194fb,crmid:7043553,7,6
7d6f9df8-7a33-11ea-92d3-b88a60e194fb,crmid:5633719,5,8
7d6fec9c-7a33-11ea-8776-b88a60e194fb,crmid:7776867,3,7
7d7087ba-7a33-11ea-b463-b88a60e194fb,crmid:3970783,3,5
7d714b06-7a33-11ea-b191-b88a60e194fb,crmid:2509520,1,4
7d720e86-7a33-11ea-b84d-b88a60e194fb,crmid:2989531,8,6
7d72d1c6-7a33-11ea-a2e0-b88a60e194fb,crmid:3575500,5,7
7d736ddc-7a33-11ea-90ec-b88a60e194fb,crmid:9937764,4,1
7d73e328-7a33-11ea-876a-b88a60e194fb,crmid:5505230,9,9
7d74585e-7a33-11ea-952d-b88a60e194fb,crmid:9840579,9,1
7d74cd98-7a33-11ea-902e-b88a60e194fb,crmid:1028722,6,7
7d751c5a-7a33-11ea-a971-b88a60e194fb,crmid:2639351,3,4
7d7590d8-7a33-11ea-ba51-b88a60e194fb,crmid:3355394,1,7
7d76060c-7a33-11ea-a436-b88a60e194fb,crmid:5797203,2,3
7d76558a-7a33-11ea-9624-b88a60e194fb,crmid:4155334,7,7
7d76f1c2-7a33-11ea-ac76-b88a60e194fb,crmid:8150115,5,9
7d774022-7a33-11ea-90f0-b88a60e194fb,crmid:9326708,6,2
7d77b39e-7a33-11ea-b3b0-b88a60e194fb,crmid:5447852,1,2
7d782a1a-7a33-11ea-a684-b88a60e194fb,crmid:1305576,1,6
7d789f0c-7a33-11ea-a717-b88a60e194fb,crmid:3344641,5,8
7d78ed66-7a33-11ea-8a47-b88a60e194fb,crmid:1383403,6,7
7d79614a-7a33-11ea-89ec-b88a60e194fb,crmid:6701062,3,8
7d79d7cc-7a33-11ea-89cc-b88a60e194fb,crmid:3315756,8,2
7d7a4cb8-7a33-11ea-b41e-b88a60e194fb,crmid:7415642,5,3
7d7a9a94-7a33-11ea-9f8b-b88a60e194fb,crmid:6380550,2,7
7d7bd38c-7a33-11ea-9140-b88a60e194fb,crmid:7749457,2,5
7d7cbe0a-7a33-11ea-8aa8-b88a60e194fb,crmid:5229696,4,4
7d7d3336-7a33-11ea-850a-b88a60e194fb,crmid:3806098,1,7
7d7dcf4a-7a33-11ea-b593-b88a60e194fb,crmid:7628700,5,8
7d7e1d58-7a33-11ea-8c78-b88a60e194fb,crmid:3820636,2,3
7d7e928a-7a33-11ea-95d1-b88a60e194fb,crmid:2670918,3,7
7d7f0798-7a33-11ea-8239-b88a60e194fb,crmid:4586316,8,7
7d7f55dc-7a33-11ea-9ab9-b88a60e194fb,crmid:7943091,9,3
7d7fa3e4-7a33-11ea-ba0c-b88a60e194fb,crmid:9673905,3,8
7d8018d4-7a33-11ea-aa26-b88a60e194fb,crmid:8778449,7,5
7d80665e-7a33-11ea-9fc5-b88a60e194fb,crmid:8542664,3,7
7d80db92-7a33-11ea-9d5f-b88a60e194fb,crmid:6943112,6,1
7d81519a-7a33-11ea-86e7-b88a60e194fb,crmid:8403303,1,4
7d819fb4-7a33-11ea-b9a5-b88a60e194fb,crmid:3458277,8,7
7d82151a-7a33-11ea-9d31-b88a60e194fb,crmid:5286606,4,7
7d826308-7a33-11ea-a43a-b88a60e194fb,crmid:1904353,3,8
7d82d89c-7a33-11ea-8209-b88a60e194fb,crmid:4453572,6,6
7d8326a4-7a33-11ea-ae43-b88a60e194fb,crmid:6194400,1,2
7d839cac-7a33-11ea-920b-b88a60e194fb,crmid:8544424,2,8
7d841108-7a33-11ea-b47d-b88a60e194fb,crmid:5588473,4,7
7d848774-7a33-11ea-ac7a-b88a60e194fb,crmid:2515380,8,2
7d84fc24-7a33-11ea-a190-b88a60e194fb,crmid:5247993,1,3
7d857098-7a33-11ea-814f-b88a60e194fb,crmid:4696993,2,2
7d863270-7a33-11ea-a758-b88a60e194fb,crmid:8450562,1,6
7d86a7b4-7a33-11ea-ac5c-b88a60e194fb,crmid:9780759,2,1
7d86f5d0-7a33-11ea-868b-b88a60e194fb,crmid:8456427,2,7
7d876af8-7a33-11ea-9804-b88a60e194fb,crmid:1380263,1,6
7d87b91e-7a33-11ea-bdf8-b88a60e194fb,crmid:9977087,1,8
7d882e4c-7a33-11ea-ab25-b88a60e194fb,crmid:6056689,2,6
7d887c70-7a33-11ea-b02b-b88a60e194fb,crmid:1095975,1,7
7d88f19c-7a33-11ea-b53b-b88a60e194fb,crmid:1922255,4,7
7d8966cc-7a33-11ea-9bb6-b88a60e194fb,crmid:4100325,9,1
7d89b4e4-7a33-11ea-bee6-b88a60e194fb,crmid:7505643,2,1
7d8a5136-7a33-11ea-b95f-b88a60e194fb,crmid:7796441,4,3
7d8a9f50-7a33-11ea-9de7-b88a60e194fb,crmid:6743161,3,2
7d8b147a-7a33-11ea-939f-b88a60e194fb,crmid:8490370,7,7
7d8b8a4a-7a33-11ea-94dd-b88a60e194fb,crmid:4998744,5,5
7d8bd7c8-7a33-11ea-8aec-b88a60e194fb,crmid:5980175,6,7
7d8c4cf0-7a33-11ea-89f6-b88a60e194fb,crmid:3842521,6,2
7d8c9b1a-7a33-11ea-ba6e-b88a60e194fb,crmid:9741748,8,7
7d8d104a-7a33-11ea-a9c2-b88a60e194fb,crmid:6863075,5,7
7d8d5e68-7a33-11ea-a7db-b88a60e194fb,crmid:4777223,1,8
7d8dd394-7a33-11ea-a35a-b88a60e194fb,crmid:4676668,4,6
7d8e21b8-7a33-11ea-91f2-b88a60e194fb,crmid:2134587,5,7
7d8ebdf8-7a33-11ea-b2f8-b88a60e194fb,crmid:3130338,9,6
7d8f3324-7a33-11ea-bf1f-b88a60e194fb,crmid:2602341,2,8
7d8fcf68-7a33-11ea-bec2-b88a60e194fb,crmid:7819358,1,4
7d901d86-7a33-11ea-acbe-b88a60e194fb,crmid:1455665,2,7
7d9092b6-7a33-11ea-a9f1-b88a60e194fb,crmid:9443790,7,3
7d90e0d4-7a33-11ea-9410-b88a60e194fb,crmid:7071187,5,7
7d912ee8-7a33-11ea-b95f-b88a60e194fb,crmid:5603752,5,7
7d91a42c-7a33-11ea-805e-b88a60e194fb,crmid:4312611,5,8
7d921952-7a33-11ea-a03e-b88a60e194fb,crmid:1925471,3,9
7d928e82-7a33-11ea-84b2-b88a60e194fb,crmid:3255427,4,8
7d930450-7a33-11ea-8dd5-b88a60e194fb,crmid:5174912,2,3
7d93a014-7a33-11ea-9cc7-b88a60e194fb,crmid:8934236,9,8
7d94156c-7a33-11ea-8cdd-b88a60e194fb,crmid:3460018,9,9
7d948a46-7a33-11ea-81e2-b88a60e194fb,crmid:1678355,8,8
7d94d86e-7a33-11ea-8b60-b88a60e194fb,crmid:7208020,9,6
7d95268c-7a33-11ea-82eb-b88a60e194fb,crmid:6627873,6,5
7d959c4c-7a33-11ea-88d9-b88a60e194fb,crmid:2037832,4,9
7d961140-7a33-11ea-a3d1-b88a60e194fb,crmid:7537483,9,7
7d965f4c-7a33-11ea-ae6e-b88a60e194fb,crmid:4320771,2,8
7d96d43a-7a33-11ea-820f-b88a60e194fb,crmid:4266006,7,4
7d97496c-7a33-11ea-af2b-b88a60e194fb,crmid:3207982,2,4
7d97beac-7a33-11ea-a9d8-b88a60e194fb,crmid:4065224,6,4
7d985ada-7a33-11ea-9ef2-b88a60e194fb,crmid:4490481,4,3
7d98d006-7a33-11ea-bb6d-b88a60e194fb,crmid:9822320,5,1
7d994538-7a33-11ea-9e59-b88a60e194fb,crmid:5442512,6,8
7d999358-7a33-11ea-be43-b88a60e194fb,crmid:6400795,7,4
7d9a0886-7a33-11ea-8371-b88a60e194fb,crmid:8015816,4,7
7d9a56a8-7a33-11ea-bae0-b88a60e194fb,crmid:1073432,8,7
7d9aa4ca-7a33-11ea-83a2-b88a60e194fb,crmid:9552314,2,3
7d9b19f6-7a33-11ea-b626-b88a60e194fb,crmid:6215606,3,7
7d9b6818-7a33-11ea-b3bf-b88a60e194fb,crmid:1435147,4,7
7d9bdd48-7a33-11ea-9a17-b88a60e194fb,crmid:7105353,8,2
7d9ec36e-7a33-11ea-8831-b88a60e194fb,crmid:9763808,1,2
7d9f38a4-7a33-11ea-a3f4-b88a60e194fb,crmid:9987311,2,6
7d9f86c0-7a33-11ea-931e-b88a60e194fb,crmid:9041752,4,9
7d9ffc74-7a33-11ea-b696-b88a60e194fb,crmid:3753547,4,2
7da07114-7a33-11ea-8bc7-b88a60e194fb,crmid:4083591,3,7
7da0bf40-7a33-11ea-9a1f-b88a60e194fb,crmid:7258551,6,3
7da1346e-7a33-11ea-bea8-b88a60e194fb,crmid:9000681,2,4
7da1a99c-7a33-11ea-9810-b88a60e194fb,crmid:2990980,4,2
7da21eca-7a33-11ea-94d9-b88a60e194fb,crmid:1686091,2,2
7da29424-7a33-11ea-9ca3-b88a60e194fb,crmid:7679074,4,7
7da30b1c-7a33-11ea-ba7c-b88a60e194fb,crmid:7116322,6,7
7da3a6ac-7a33-11ea-8b5d-b88a60e194fb,crmid:1293259,4,8
7da3f462-7a33-11ea-8f61-b88a60e194fb,crmid:5084285,3,7
7da46a0c-7a33-11ea-920a-b88a60e194fb,crmid:7627372,8,7
7da4b834-7a33-11ea-a444-b88a60e194fb,crmid:2969521,1,4
7da52d4a-7a33-11ea-98d8-b88a60e194fb,crmid:2584952,1,9
7da57b6e-7a33-11ea-a4c3-b88a60e194fb,crmid:9250654,3,7
7da5f09e-7a33-11ea-a4d3-b88a60e194fb,crmid:1738425,4,7
7da63fd2-7a33-11ea-914c-b88a60e194fb,crmid:3382137,5,2
7da68ce4-7a33-11ea-8de8-b88a60e194fb,crmid:1488073,1,9
7da7021c-7a33-11ea-ba19-b88a60e194fb,crmid:7284239,2,2
7da7775c-7a33-11ea-8bb5-b88a60e194fb,crmid:9352611,6,7
7da83a68-7a33-11ea-b568-b88a60e194fb,crmid:4393982,3,3
7da8afc2-7a33-11ea-b674-b88a60e194fb,crmid:3220991,6,8
7da8fdde-7a33-11ea-a92c-b88a60e194fb,crmid:9030344,9,8
7da94c12-7a33-11ea-822d-b88a60e194fb,crmid:9143814,9,3
7da9c226-7a33-11ea-87ec-b88a60e194fb,crmid:5527332,5,7
7daa36b4-7a33-11ea-a92a-b88a60e194fb,crmid:7173157,9,2
7daa849c-7a33-11ea-8f54-b88a60e194fb,crmid:1542423,7,7
7daaf9a8-7a33-11ea-9aab-b88a60e194fb,crmid:8090988,2,3
7dab47c0-7a33-11ea-863f-b88a60e194fb,crmid:5104353,4,4
7dabbc92-7a33-11ea-9daf-b88a60e194fb,crmid:6482674,3,8
7dac3246-7a33-11ea-868f-b88a60e194fb,crmid:2687129,2,2
7daca6fa-7a33-11ea-bfe8-b88a60e194fb,crmid:8110067,5,7
7dad1cca-7a33-11ea-9eb5-b88a60e194fb,crmid:9385423,5,8
7dad6aac-7a33-11ea-aa1e-b88a60e194fb,crmid:8026990,7,5
7dade00c-7a33-11ea-943e-b88a60e194fb,crmid:7608458,8,2
7dae2dd0-7a33-11ea-a5ad-b88a60e194fb,crmid:6520632,6,7
7daec912-7a33-11ea-a907-b88a60e194fb,crmid:3900914,2,7
7daf1722-7a33-11ea-824c-b88a60e194fb,crmid:6102156,2,8
7daf8d6e-7a33-11ea-87a7-b88a60e194fb,crmid:2107418,4,2
7db002ba-7a33-11ea-975d-b88a60e194fb,crmid:2597352,9,2
7db05068-7a33-11ea-8580-b88a60e194fb,crmid:9085802,1,4
7db0ecee-7a33-11ea-9515-b88a60e194fb,crmid:5309022,8,8
7db16176-7a33-11ea-a4de-b88a60e194fb,crmid:1387984,4,8
7db1af90-7a33-11ea-916d-b88a60e194fb,crmid:2706397,9,7
7db22490-7a33-11ea-9039-b88a60e194fb,crmid:4888792,1,2
7db272ca-7a33-11ea-8046-b88a60e194fb,crmid:6327927,5,7
7db2e964-7a33-11ea-bbdc-b88a60e194fb,crmid:8180902,5,6
7db336ee-7a33-11ea-98e8-b88a60e194fb,crmid:5839091,2,3
7db3acd2-7a33-11ea-973b-b88a60e194fb,crmid:2998894,4,8
7db3fa08-7a33-11ea-93d2-b88a60e194fb,crmid:5178223,8,7
7db46f6e-7a33-11ea-aa8f-b88a60e194fb,crmid:8233962,3,7
7db5599e-7a33-11ea-8654-b88a60e194fb,crmid:5982971,1,4
7db61d1c-7a33-11ea-9118-b88a60e194fb,crmid:2972422,9,7
7db66b02-7a33-11ea-881d-b88a60e194fb,crmid:3237954,9,7
7db6e066-7a33-11ea-a669-b88a60e194fb,crmid:9289751,4,7
7db72e86-7a33-11ea-9670-b88a60e194fb,crmid:3076813,3,7
7db7a39c-7a33-11ea-9571-b88a60e194fb,crmid:8150664,6,7
7db7f282-7a33-11ea-b62e-b88a60e194fb,crmid:4000322,8,4
7db99f6c-7a33-11ea-8917-b88a60e194fb,crmid:4607642,4,7
7db9ed9c-7a33-11ea-aec0-b88a60e194fb,crmid:4715962,3,3
7dba62dc-7a33-11ea-9a13-b88a60e194fb,crmid:8336403,8,7
7dbab0e2-7a33-11ea-998b-b88a60e194fb,crmid:6156363,4,4
7dbb25fe-7a33-11ea-a8f7-b88a60e194fb,crmid:4748582,9,4
7dbb9b34-7a33-11ea-bed3-b88a60e194fb,crmid:7725680,5,5
7dbc107a-7a33-11ea-b5cd-b88a60e194fb,crmid:2923397,4,9
7dbc5e92-7a33-11ea-98ff-b88a60e194fb,crmid:8598356,1,4
7dbcf9a8-7a33-11ea-95e3-b88a60e194fb,crmid:5407050,4,8
7dbd6f52-7a33-11ea-87fe-b88a60e194fb,crmid:2152544,1,2
7dbdbe12-7a33-11ea-b089-b88a60e194fb,crmid:2360847,7,7
7dbe0c34-7a33-11ea-8ff4-b88a60e194fb,crmid:9137020,1,6
7dbe8062-7a33-11ea-8acd-b88a60e194fb,crmid:2048291,9,6
7dbef598-7a33-11ea-9d43-b88a60e194fb,crmid:3471353,6,8
7dbf6c06-7a33-11ea-b6de-b88a60e194fb,crmid:8063270,5,3
7dbfe180-7a33-11ea-9929-b88a60e194fb,crmid:8072853,1,8
7dc057a6-7a33-11ea-944c-b88a60e194fb,crmid:7905123,7,5
7dc0cb9a-7a33-11ea-b469-b88a60e194fb,crmid:4317353,2,1
7dc140f0-7a33-11ea-84fe-b88a60e194fb,crmid:7207902,7,9
7dc1b5e6-7a33-11ea-bfc2-b88a60e194fb,crmid:7221719,6,7
7dc203a6-7a33-11ea-aa06-b88a60e194fb,crmid:7846870,1,4
7dc27924-7a33-11ea-b961-b88a60e194fb,crmid:9954757,2,2
7dc2c5f4-7a33-11ea-aecd-b88a60e194fb,crmid:6994952,4,4
7dc33b42-7a33-11ea-a6b5-b88a60e194fb,crmid:1908329,1,5
7dc3b0ca-7a33-11ea-9d5a-b88a60e194fb,crmid:1977639,4,9
7dc3feec-7a33-11ea-a938-b88a60e194fb,crmid:7475610,9,4
7dc49abe-7a33-11ea-8cea-b88a60e194fb,crmid:7605119,2,3
7dc50ff4-7a33-11ea-9e12-b88a60e194fb,crmid:3527978,2,8
7dc55e30-7a33-11ea-a711-b88a60e194fb,crmid:4354299,5,1
7dc5d330-7a33-11ea-81cd-b88a60e194fb,crmid:4927485,1,4
7dc648b0-7a33-11ea-8001-b88a60e194fb,crmid:5936197,6,7
7dc6bdb6-7a33-11ea-9f28-b88a60e194fb,crmid:3534216,4,5
7dc732cc-7a33-11ea-bf94-b88a60e194fb,crmid:2841675,1,2
7dc78262-7a33-11ea-88d1-b88a60e194fb,crmid:9657491,4,3
7dc7f7a2-7a33-11ea-82b2-b88a60e194fb,crmid:5984030,9,8
7dc86cc0-7a33-11ea-a192-b88a60e194fb,crmid:7586486,3,7
7dc8e0a8-7a33-11ea-9862-b88a60e194fb,crmid:7112039,5,7
7dc97ccc-7a33-11ea-a9c6-b88a60e194fb,crmid:3392934,7,8
7dc9f1e2-7a33-11ea-9321-b88a60e194fb,crmid:8619608,9,2
7dca401e-7a33-11ea-9b31-b88a60e194fb,crmid:2120861,6,8
7dca8e3a-7a33-11ea-b5df-b88a60e194fb,crmid:3053048,3,6
7dcb0376-7a33-11ea-b768-b88a60e194fb,crmid:1635565,2,1
7dcb7928-7a33-11ea-8949-b88a60e194fb,crmid:6249064,1,8
7dcbedf0-7a33-11ea-9e78-b88a60e194fb,crmid:6123234,2,3
7dcc8a12-7a33-11ea-841b-b88a60e194fb,crmid:5218958,7,3
7dccff64-7a33-11ea-926a-b88a60e194fb,crmid:8378015,1,8
7dcd9b70-7a33-11ea-b901-b88a60e194fb,crmid:4753305,9,7
7dce109c-7a33-11ea-bedf-b88a60e194fb,crmid:9480141,2,5
